seed,n_vertices,density,strategy,turns,K,Y,B,K_over_Y,K_over_B,Y_over_B
3,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
4,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
5,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
6,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
7,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
8,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
9,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
10,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
11,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
12,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
13,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
14,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
15,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
16,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
17,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
18,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
19,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
20,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
21,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
22,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
23,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
24,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
25,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
26,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
27,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
28,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
29,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
30,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
1,25,0.1733,max_degree,3,7,5,13,1.4,0.5385,0.3846
2,25,0.1733,max_degree,3,7,5,13,1.4,0.5385,0.3846
3,25,0.1733,max_degree,3,7,5,13,1.4,0.5385,0.3846
4,25,0.1733,max_degree,3,7,5,13,1.4,0.5385,0.3846
5,25,0.1733,max_degree,3,7,5,13,1.4,0.5385,0.3846
6,25,0.1733,max_degree,3,7,5,13,1.4,0.5385,0.3846
7,25,0.1733,max_degree,3,7,5,13,1.4,0.5385,0.3846
8,25,0.1733,max_degree,3,7,5,13,1.4,0.5385,0.3846
9,25,0.1733,max_degree,3,7,5,13,1.4,0.5385,0.3846
10,25,0.1733,max_degree,3,7,5,13,1.4,0.5385,0.3846
11,25,0.1733,max_degree,3,7,5,13,1.4,0.5385,0.3846
12,25,0.1733,max_degree,3,7,5,13,1.4,0.5385,0.3846
13,25,0.1733,max_degree,3,7,5,13,1.4,0.5385,0.3846
14,25,0.1567,max_degree,2,6,4,15,1.5,0.4,0.2667
15,25,0.1567,max_degree,2,6,4,15,1.5,0.4,0.2667
16,25,0.1567,max_degree,2,6,4,15,1.5,0.4,0.2667
17,25,0.1567,max_degree,2,6,4,15,1.5,0.4,0.2667
18,25,0.1567,max_degree,2,6,4,15,1.5,0.4,0.2667
19,25,0.1567,max_degree,2,6,4,15,1.5,0.4,0.2667
20,25,0.1567,max_degree,2,6,4,15,1.5,0.4,0.2667
21,25,0.1567,max_degree,2,6,4,15,1.5,0.4,0.2667
22,25,0.1567,max_degree,2,6,4,15,1.5,0.4,0.2667
23,25,0.1567,max_degree,2,6,4,15,1.5,0.4,0.2667
24,25,0.1567,max_degree,2,6,4,15,1.5,0.4,0.2667
25,25,0.1567,max_degree,2,6,4,15,1.5,0.4,0.2667
26,25,0.1567,max_degree,2,6,4,15,1.5,0.4,0.2667
27,25,0.1567,max_degree,2,6,4,15,1.5,0.4,0.2667
28,25,0.1633,max_degree,4,11,7,7,1.5714,1.5714,1.0
29,25,0.1633,max_degree,4,11,7,7,1.5714,1.5714,1.0
30,25,0.1633,max_degree,4,11,7,7,1.5714,1.5714,1.0
