seed,n_vertices,density,strategy,turns,K,Y,B,K_over_Y,K_over_B,Y_over_B
1,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
2,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
3,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
4,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
5,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
6,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
7,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
8,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
9,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
10,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
11,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
12,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
13,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
14,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
15,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
16,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
17,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
18,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
19,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
20,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
21,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
22,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
23,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
24,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
25,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
26,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
27,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
28,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
29,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
30,15,0.2,max_degree,2,4,3,8,1.3333,0.5,0.375
1,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
2,20,0.1737,max_degree,2,5,4,11,1.25,0.4545,0.3636
